test	dp	tp	tpsp	fsdp	mean	stddev
maxtext_fp8	1	4	1	1	15004.20	4.87
te_fp8_DelayedScaling	1	4	1	1	13265.12	1063.50
te_fp8_MXFP8BlockScaling	1	4	1	1	12625.06	96.17
maxtext_fp8	4	1	1	1	12243.60	100.18
te_fp8_DelayedScaling	4	1	1	1	12264.61	939.94
te_fp8_MXFP8BlockScaling	4	1	1	1	12014.23	38.01
maxtext_fp8	2	2	1	1	14038.44	9.06
te_fp8_DelayedScaling	2	2	1	1	13054.49	1054.49
te_fp8_MXFP8BlockScaling	2	2	1	1	12307.22	2.81
maxtext_fp8	1	1	4	1	12810.98	5.59
te_fp8_DelayedScaling	1	1	4	1	13765.65	1123.80
te_fp8_MXFP8BlockScaling	1	1	4	1	13392.82	3.47
maxtext_fp8	2	1	2	1	13096.40	32.81
te_fp8_DelayedScaling	2	1	2	1	13360.74	1100.70
te_fp8_MXFP8BlockScaling	2	1	2	1	12812.00	27.72
maxtext_fp8	1	1	1	4	15053.96	31.92
te_fp8_DelayedScaling	1	1	1	4	13265.97	1061.53
te_fp8_MXFP8BlockScaling	1	1	1	4	12469.01	25.17
maxtext_fp8	1	1	2	2	13733.09	6.80
te_fp8_DelayedScaling	1	1	2	2	13392.21	1088.64
te_fp8_MXFP8BlockScaling	1	1	2	2	12911.23	24.77
