test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	4	1	1	15005.50	6.30	1.000
te_fp8_DelayedScaling	1	4	1	1	13278.41	1059.39	0.885
te_fp8_MXFP8BlockScaling	1	4	1	1	12670.88	50.03	0.844
maxtext_fp8	4	1	1	1	12231.25	111.96	1.000
te_fp8_DelayedScaling	4	1	1	1	12238.01	943.26	1.001
te_fp8_MXFP8BlockScaling	4	1	1	1	12025.92	27.22	0.983
maxtext_fp8	2	2	1	1	14036.72	17.40	1.000
te_fp8_DelayedScaling	2	2	1	1	13067.49	1057.07	0.931
te_fp8_MXFP8BlockScaling	2	2	1	1	12306.53	2.37	0.877
maxtext_fp8	1	1	4	1	12809.81	5.88	1.000
te_fp8_DelayedScaling	1	1	4	1	13791.30	1114.84	1.077
te_fp8_MXFP8BlockScaling	1	1	4	1	13389.09	5.84	1.045
maxtext_fp8	2	1	2	1	13097.68	32.26	1.000
te_fp8_DelayedScaling	2	1	2	1	13374.42	1097.34	1.021
te_fp8_MXFP8BlockScaling	2	1	2	1	12810.79	34.04	0.978
maxtext_fp8	1	1	1	4	15050.41	8.25	1.000
te_fp8_DelayedScaling	1	1	1	4	13278.65	1061.31	0.882
te_fp8_MXFP8BlockScaling	1	1	1	4	12467.31	7.70	0.828
maxtext_fp8	1	1	2	2	13730.46	9.07	1.000
te_fp8_DelayedScaling	1	1	2	2	13414.08	1089.56	0.977
te_fp8_MXFP8BlockScaling	1	1	2	2	12916.64	13.41	0.941
