test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	1	1	1	10333.64	4.31	0.00%
te_fp8_delayedscaling	1	1	1	1	10328.44	7.11	-0.05%
te_mxfp8	1	1	1	1	10067.00	7.07	-2.58%
maxtext_fp8	1	4	1	1	10562.25	8.64	0.00%
te_fp8_delayedscaling	1	4	1	1	8556.12	3.77	-18.99%
te_mxfp8	1	4	1	1	8323.25	2.90	-21.20%
maxtext_fp8	4	1	1	1	8908.36	4.12	0.00%
te_fp8_delayedscaling	4	1	1	1	9060.53	4.96	1.71%
te_mxfp8	4	1	1	1	9145.74	4.77	2.66%
maxtext_fp8	2	2	1	1	9973.70	4.76	0.00%
te_fp8_delayedscaling	2	2	1	1	8882.84	4.90	-10.94%
te_mxfp8	2	2	1	1	8756.41	4.04	-12.20%
maxtext_fp8	1	1	4	1	9191.28	5.82	0.00%
te_fp8_delayedscaling	1	1	4	1	9850.90	6.68	7.18%
te_mxfp8	1	1	4	1	9579.65	11.20	4.23%
maxtext_fp8	2	1	2	1	9617.63	8.14	0.00%
te_fp8_delayedscaling	2	1	2	1	9353.15	6.27	-2.75%
te_mxfp8	2	1	2	1	9233.85	5.07	-3.99%
maxtext_fp8	1	1	1	4	10900.10	14.27	0.00%
te_fp8_delayedscaling	1	1	1	4	10841.83	12.47	-0.53%
te_mxfp8	1	1	1	4	11051.01	9.62	1.38%
maxtext_fp8	1	1	2	2	10351.40	11.69	0.00%
te_fp8_delayedscaling	1	1	2	2	9799.75	5.33	-5.33%
te_mxfp8	1	1	2	2	9800.94	5.51	-5.32%
